"sample_id","item","item_question","response_text"
"S126","hedonism07","How can the described technology <b>promotes your health</b>?","By improving the likelihood that global warming would not continue to have a negative effect on not only my own health, but also on the health of every living creature."
"S006","contractualist01","When in your opinion is the described technology <b>just</b>?","When it becomes necessary to employ as an emergency climate measure."
"S131","hedonism08","How can the described technology <b>promotes your freedom</b>?","I don't know what to say, I find the term ""promotes your freedom"" to be largely unrelated to the subject in question. Maybe there would be a broad range of activities open to one of if the proposed technology accomplished it's task. "
"S001","contractualist01","When in your opinion is the described technology <b>just</b>?","When the actual purpose of the development is achieved"
"S095","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","Since tree are an important sources of oxygen and also absorbs carbon dioxide, this further reduces climate change"
"S019","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","No clue."
"S116","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","We all are going to have to deal with some consequences when using it to help stop climate change"
"S052","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","by behaving in a good way to help in what ever way you can to save the planet"
"S132","hedonism08","How can the described technology <b>promotes your freedom</b>?","It cant. The only thing it promotes is making the green freaks democrats happy. As i said, i would go 100% green if everyone else does"
"S081","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","how man interferes with nature"
"S137","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","The utility of creating potential to reduce the overall increase in temperature. "
"S016","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","Is there any type of thought put into the impact on others not using the technology?"
"S113","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","I do not think there has to be sacrifices to the technology, there needs to be additional things done by our population"
"S056","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","The help or aid to earth or humanity to help with a cause"
"S053","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","I consider a behavior that is intended to make things better for life on earth and help contribute availability of food, shelter, water, basic needs, etc. as moral behavior."
"S036","deontology01","What do you consider to be a <b>moral obligation</b>?","A moral obligation is something that we are required to do as citizens of earth in order to contribute to the continued existence and health of all species on earth. There may not be any immediate punishment or reward for doing or not doing; but generally relates to whether or not someone is a ""good person"""
"S097","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","The sun is kind of what makes photosynthesis possible. We are disrupting plant life, which disrupts our life."
"S136","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","the cooling effects from SAI"
"S149","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","I think of all people."
"S043","deontology01","What do you consider to be a <b>moral obligation</b>?","Stop destroying our planet then allow nature to repair it"
"S040","deontology01","What do you consider to be a <b>moral obligation</b>?","Informed Consent.  Consensus is deal.
100% assurance it will cause no harm or trigger feedback loops"
"S044","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","Autonomy of users in a technological context means whether or not integrating a form of technology will affect my already established routine (whether in a harmful way or beneficial way). For instance if I use an advanced wheelchair when I can't walk, that is promoting autonomy because I can move more now. In this case, because it is such a procedure that is happening out of reach from average citizens, the autonomy is more or less the same as before its implementation."
"S035","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","I guess having a choice is what I think of."
"S062","deontology04","When in your opinion is the described technology <b>morally right</b>?","when it does more good than harm."
"S077","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","It means to not violate any types of norms in the interaction process."
"S014","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","To not create technology which will intentionally harm other humans or destroy the environment"
"S133","hedonism08","How can the described technology <b>promotes your freedom</b>?","It means to allow me to choose my behavior."
"S005","contractualist01","When in your opinion is the described technology <b>just</b>?","When there is no other way to stop the problem, use what is available"
"S026","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","I honestly don't know what else I could add to what I already said. I'm sorry."
"S015","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","Something that will happen even though people don't have to say out loud that they agree for it to happen."
"S090","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","We maintain face and our own dignity as a country"
"S074","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","I believe that many people believe that profit is more important than preservation."
"S008","contractualist02","When in your opinion is the described technology <b>fair</b>?","do we have another choice? will it actually work? its not fair that the burden of saving everyone should fall on a few"
"S067","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","An important moral rule is one that falls on the right side of the Principalist approach, autonomy, beneficense, non-malfeasance, justice"
"S004","contractualist01","When in your opinion is the described technology <b>just</b>?","Yes, this technology is considered just. It does not have any known negative impact."
"S150","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","Researchers and product developers working for companies producing these injections."
"S061","deontology04","When in your opinion is the described technology <b>morally right</b>?","When the technology is been used on a good note to perform its purpose"
"S117","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","I don't understand what sacrifices would be required."
"S101","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","It is personally satisfactory when it is successful, which it was to some degree in the described scenario. "
"S145","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","People in countries most effected by climate change. "
"S088","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","I have nothing to say, I reject the notion that the words above are arranged in a way that conveys any meaning that I can respond to. "
"S018","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","There is nothing written on a piece of paper that forces that person to do something, they can act freely"
"S054","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","Something that is accepted or unaccepted by the society."
"S070","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","no idea"
"S148","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","I imagine the government and private bodies working in unison"
"S068","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","An important moral rule is that the effects are a net benefit for humans and species without later disastrous consequences"
"S086","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","This question is unclear to me but my best guess would be that the SAI would be governed in a way that is dignified when interacting with society. "
"S023","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","For our own interest we need to do that's technical promise."
"S110","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","I do not think the described technology would be selfish to use as long as it is a development that affect everyone"
"S105","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","the benefits of the technology align more with my morals than the downsides. i think it can be implemented in a manner that would satisfy my personal morals"
"S140","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","I was thinking of how useful the technology would be in slowing the rising temperatures that are greatly impacting the world."
"S076","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","How and who the use of the technology will affect as it is being deployed."
"S075","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","It means having a choice."
"S082","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","It would perhaps mean that the technology allows for those with disabilities or handicaps to interact fully in our society without being dependent on another. "
"S085","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","Common courtesy and not hide the data or lie about the data being done.  Again, too many times the environmentalist have lied in my time.  The boy the cried wolf comes to mind.  Why should I trust you?"
"S025","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","The promise that this technology will work for the future to use if need be"
"S010","contractualist02","When in your opinion is the described technology <b>fair</b>?","Other than allowing all countries to vote on it and make sure everyone benefits from it, I have no idea."
"S080","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","Humans and technology interact in a decent and moral way."
"S065","deontology04","When in your opinion is the described technology <b>morally right</b>?","How great the innovation is."
"S041","deontology01","What do you consider to be a <b>moral obligation</b>?","A moral obligation is a way that we feel obligated to act a certain way based upon our values and what we think is good to other people. The technology is not a moral obligation, it is common sense because it it science. "
"S047","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","I don't know what that means."
"S073","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","I'm honestly not a very moral person, so idk. I guess not using human experiments."
"S013","contractualist02","When in your opinion is the described technology <b>fair</b>?","It is never fair unless everyone - not a majority - agree to it. "
"S051","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","People are somewhat autonomous in their use as they are governed by their own laws. They are independent and not governed by outside laws."
"S135","hedonism08","How can the described technology <b>promotes your freedom</b>?","By solving the situation at hand. If it can promote my freedom I think it should work effectively."
"S152","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","All people"
"S012","contractualist02","When in your opinion is the described technology <b>fair</b>?","There is not another alternative suggested at this point in 2030, and it would be very unfair to the Earth to not try in some manner to save it"
"S146","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","The benefit of the technology should in the long run help everyone if proven effective."
"S119","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","When it's the only option available in order to solve a problem"
"S109","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","Similar answer to the previous question."
"S022","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","An unwritten promise in technological context is that there will be some kind of mutual agreement of the positive effects of new technologies on society, that lifestyles and processes will benefit from them.  "
"S002","contractualist01","When in your opinion is the described technology <b>just</b>?","The technology is just when it reduces global temperatures to try to reverse some effects of climate change. "
"S130","hedonism08","How can the described technology <b>promotes your freedom</b>?","it removes the symptoms if not providing a cure"
"S115","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","This question is not clear to me and does not seem to fit, an overall aerosol technology does not require society or an individual to make sacrifices. "
"S100","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","I find this to be personally satisfactory because I can mentally envision how the technology works, and I find it extremely interesting. I also know the magnitude of the help it provides for us in both present tense and future tense, and it excites me to see what else we may be capable of."
"S060","deontology04","When in your opinion is the described technology <b>morally right</b>?","yes because their intentions are good and they are trying to solve a problem"
"S155","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","I was thinking of the researchers and engineers who developed the idea, and perhaps people in advocacy groups and government who promote it's use. "
"S093","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","One with little human intervention.  That is hard to grasp at this point in time."
"S059","deontology04","When in your opinion is the described technology <b>morally right</b>?","we helped make the problem we have to try to fix it through trial and error
"
"S143","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","I'd imagine that it was scientist that have expertise in this."
"S055","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","In a technological context, I would consider moral behavior to be how and how much it's made to help people."
"S045","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","SAI technology does not give people a choice in the matter. The system would be forced on people who oppose it."
"S102","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","Stratospheric Aerosol Injection is personally satisfactory when its required use is more necessary than the potential unknown harms it could cause."
"S024","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","Countries and companies using the technology for positive gains."
"S038","deontology01","What do you consider to be a <b>moral obligation</b>?","I think a moral obligation is when there is a problem that is negatively affecting someone else (or others) and you have the ability to do something to help them. In this case, it is the planet and all living things that live on it. We have the ability to make change to keep those living now healthy and safe, and perhaps even more importantly, ensure that the planet is safe and hospitable for as many years and generations beyond our years as possible. The fate of so many lives is in our hands right now. Not just the lives of today, but all the uncountable lives of tomorrow. It is our moral obligation to not only help ourselves, but to help them. The money we might make in the process of making things irreparably go in the wrong direction simply is not worth it. We will be looked back upon with disdain if we don't do the right thing and follow our moral obligation."
"S121","hedonism07","How can the described technology <b>promotes your health</b>?","It can if the process does what you say it will do.  However, you can't prove this.  By your actions will you cause less rain and less water on our planet?  There are consequences for both sides of this argument."
"S154","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","People or countries that refuse to find a real solution and just want to continue how they have always done things. This is just a band-aid to the problem and will ultimately fail in the long run if the root cause is not addressed."
"S107","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","because others may not feel as i do but i would proceed anyway."
"S028","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","My idea of fairness in a technological context is if its implementation falls under the implementation of technology we have willingly welcomed previously. So far, it seems like companies have made a good claim to produce anything they want anyway (harmful or beneficial) as long as it serves a purpose for the average person. That's why implementing this would just fall under that category again."
"S029","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","There should be a combination of ways. Much like a type 2 diabetic, you need the scientificly prover medicine, but you also need th changes to the behaviors that created the issue in the first place"
"S083","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","Dignity in interactions means feeling respected in experiences with other individuals."
"S058","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","I would consider moral behavior is making a decision for the best of society"
"S042","deontology01","What do you consider to be a <b>moral obligation</b>?","A lot of people may disagree with releasing sulfur in the atmosphere "
"S089","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","I think to uphold and deliver on a good p[purpose by making fulfilment"
"S108","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","If we are the only country using it without regard for other countries."
"S129","hedonism08","How can the described technology <b>promotes your freedom</b>?","It can promote my freedom by allowing me to live as careless a lifestyle as I want."
"S142","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","I was thinking of the stratopsheric aerosol injection"
"S039","deontology01","What do you consider to be a <b>moral obligation</b>?","If we are ever placed in a situation where a person or persons can be harmed if we do nothing, we have a moral obligation to act. If we can help, we must act. A moral obligation is when we are faced with a choice to improve the life of others and ourselves."
"S030","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","If I was to think fair existed, I would say something that ensures equal treatment both beneficially and detrimentally (if a factor) to all that it affects."
"S057","deontology03","What do you consider to be a <b>moral behavior</b> in a technological context?","Moral behavior in a technological context would be about whether or not the technology is benefitting the greater good. It would be encouraging a product that is helpful, and feeling selfish if you deny its process because of your own reasons. "
"S050","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","For me it means people's ability to opt-in or opt-out of using a technology. "
"S078","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","listening to communications"
"S104","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","Personally satisfactory means that I think the technology has been shown to be a net benefit to humanity in the long term. "
"S079","deontology07","What does <b>respect in interactions</b> mean for you in a technological context?","It's how people knowingly respect or disrespect the new technology with regards to social and ethical implications.  "
"S103","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","In my opinion, I am personally satisfied when something is of great benefit to all of the inhabitants of the planet. With the information I am given, this technology fulfills that requirement"
"S144","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","Government"
"S123","hedonism07","How can the described technology <b>promotes your health</b>?","This means that it would actually be conducive to good health.  It would make you healthier. This cannot be true in any way in the described scenario."
"S069","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","instead of polluting, reverse pollution."
"S031","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","It is senseless to repair something only to destroy it again."
"S127","hedonism07","How can the described technology <b>promotes your health</b>?","It makes the planet healthier for us and all species to live on. Therefore, it contributes to my continued health by making earth a place where I can live and exist without my health being harmed."
"S099","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","Personally satisfactory means it has my full support."
"S017","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","I think if it is a mutual understanding that something needs to be used in order to help mankind. "
"S007","contractualist01","When in your opinion is the described technology <b>just</b>?","I suppose it is just when the alternative is human extinction unless you take the view that extinction is what is needed for the planet to survive. "
"S153","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","Given the past misinformation and outright lies of too many on this subject, they are tainted.  They have a black eye on this issue.  Fool me once shame on you.  Fool me twice shame on me.  It is hard to trust people who in the past have used UNETHICAL methods to push their vision for the world."
