"id_used","id_system","phase","action","criterion","manuscript_note"
"deontology07","pool","substantive","deleted","comprehension_confusion","Respect in interactions: participants confused about 'treatment with respect'."
"deontology08","pool","substantive","deleted","comprehension_confusion","Dignity in interactions: uncertainty about dignity; relevance to SAI questioned."
"contractualist03","pool","substantive","revised","comprehension_confusion","Unwritten contract: revised to implicit moral conventions (appendix finalItems)."
"contractualist04","pool","substantive","revised","comprehension_confusion","Unspoken promise: revised to important social norms (appendix finalItems)."
"hedonism02","pool","substantive","flagged","ambiguous_interpretation","Selfishness interpreted variably (personal vs societal scope)."
"hedonism03","pool","substantive","flagged","ambiguous_interpretation","Sacrifices required: divergent personal vs collective interpretations."
"deontology01","study3","structural","deleted","low_R2","Lowest R² across technologies; moral-obligation wording."
"deontology07","study3","structural","deleted","residual_correlation","Strong residual correlation with deontology06 (nature); ecological environment item."
"deontology02","study3","structural","retained_despite_flag","cross_loading","Cross-loading indication with Hedonism; retained for theoretical centrality of autonomy."
"hedonism02","study3","structural","deleted","low_R2","Weak explained variance; aligns with probing ambiguity."
"hedonism03","study3","structural","deleted","low_R2","Lowest R² and high residual variance; local dependence."
"hedonism09","study3","structural","deleted","residual_correlation","Residual covariances with health/pleasure items; weak hedonism alignment (safety)."
"virtue06","study3","structural","deleted","low_R2","Lowest R²; within-factor residual correlations (professional excellence)."
"virtue07","study3","structural","deleted","cross_loading","Cross-loadings to Deontology and Utilitarianism (respectful towards nature)."
